Product1,Product2
escalope,mushroom cream sauce
pasta,escalope
herb & pepper,ground beef
ground beef,tomato sauce
pasta,shrimp
cooking oil,ground beef
nan,escalope
nan,escalope
spaghetti,frozen vegetables
frozen vegetables,olive oil
shrimp,frozen vegetables
spaghetti,frozen vegetables
spaghetti,ground beef
herb & pepper,ground beef
herb & pepper,ground beef
herb & pepper,ground beef
ground beef,nan
shrimp,ground beef
pasta,shrimp
cooking oil,ground beef
spaghetti,frozen vegetables
olive oil,frozen vegetables
shrimp,frozen vegetables
spaghetti,tomatoes
nan,ground beef
herb & pepper,ground beef
herb & pepper,ground beef
shrimp,ground beef
